year,month,sector,nom_ent,trab
1998,6,Construcción,Hidalgo,11760
1998,6,Construcción,Jalisco,54418
1998,6,Construcción,Mexico,46906
1998,6,Construcción,Michoacan,20549
1998,6,Construcción,Morelos,10044
1998,6,Construcción,Nayarit,6709
1998,6,Construcción,Nuevo Leon,68032
1998,6,Construcción,Oaxaca,12970
1998,6,Construcción,Puebla,21700
1998,6,Construcción,Queretaro,19592
1998,6,Construcción,Quintana Roo,19428
1998,6,Construcción,San Luis Potosi,13324
1998,6,Construcción,Sinaloa,22873
1998,6,Construcción,Sonora,26788
1998,6,Construcción,Tabasco,17584
1998,6,Construcción,Tamaulipas,33646
1998,6,Construcción,Tlaxcala,2850
1998,6,Construcción,Veracruz,44453
1998,6,Construcción,Yucatan,14482
1998,6,Construcción,Zacatecas,7232
1998,7,Construcción,Aguascalientes,12065
1998,7,Construcción,Baja California,28419
1998,7,Construcción,Baja California Sur,11137
1998,7,Construcción,Campeche,21934
1998,7,Construcción,Chiapas,11912
1998,7,Construcción,Chihuahua,28185
1998,7,Construcción,Ciudad de México,101405
1998,7,Construcción,Coahuila,33511
1998,7,Construcción,Colima,6704
1998,7,Construcción,Durango,8735
1998,7,Construcción,Guanajuato,33660
1998,7,Construcción,Guerrero,16110
1998,7,Construcción,Hidalgo,12075
1998,7,Construcción,Jalisco,57260
1998,7,Construcción,Mexico,49175
1998,7,Construcción,Michoacan,20928
1998,7,Construcción,Morelos,10443
1998,7,Construcción,Nayarit,6931
1998,7,Construcción,Nuevo Leon,70089
1998,7,Construcción,Oaxaca,12956
1998,7,Construcción,Puebla,21878
1998,7,Construcción,Queretaro,20882
1998,7,Construcción,Quintana Roo,22876
1998,7,Construcción,San Luis Potosi,13611
1998,7,Construcción,Sinaloa,22713
1998,7,Construcción,Sonora,27892
1998,7,Construcción,Tabasco,17835
1998,7,Construcción,Tamaulipas,35571
1998,7,Construcción,Tlaxcala,3187
1998,7,Construcción,Veracruz,45007
1998,7,Construcción,Yucatan,15460
1998,7,Construcción,Zacatecas,7300
1998,8,Construcción,Aguascalientes,12279
1998,8,Construcción,Baja California,29255
1998,8,Construcción,Baja California Sur,11900
1998,8,Construcción,Campeche,22802
1998,8,Construcción,Chiapas,12213
1998,8,Construcción,Chihuahua,29619
1998,8,Construcción,Ciudad de México,103689
1998,8,Construcción,Coahuila,33764
1998,8,Construcción,Colima,6992
1998,8,Construcción,Durango,8695
1998,8,Construcción,Guanajuato,34767
1998,8,Construcción,Guerrero,16563
1998,8,Construcción,Hidalgo,12112
1998,8,Construcción,Jalisco,58247
1998,8,Construcción,Mexico,49748
1998,8,Construcción,Michoacan,21281
1998,8,Construcción,Morelos,10696
1998,8,Construcción,Nayarit,6971
1998,8,Construcción,Nuevo Leon,70174
1998,8,Construcción,Oaxaca,12922
1998,8,Construcción,Puebla,21618
1998,8,Construcción,Queretaro,20921
1998,8,Construcción,Quintana Roo,28068
1998,8,Construcción,San Luis Potosi,13830
1998,8,Construcción,Sinaloa,23610
1998,8,Construcción,Sonora,28263
1998,8,Construcción,Tabasco,17710
1998,8,Construcción,Tamaulipas,36863
1998,8,Construcción,Tlaxcala,3514
1998,8,Construcción,Veracruz,45890
1998,8,Construcción,Yucatan,15753
1998,8,Construcción,Zacatecas,8089
1998,9,Construcción,Aguascalientes,12226
1998,9,Construcción,Baja California,30493
1998,9,Construcción,Baja California Sur,12444
1998,9,Construcción,Campeche,23539
1998,9,Construcción,Chiapas,12326
1998,9,Construcción,Chihuahua,29483
1998,9,Construcción,Ciudad de México,104740
1998,9,Construcción,Coahuila,34133
1998,9,Construcción,Colima,7027
1998,9,Construcción,Durango,8856
1998,9,Construcción,Guanajuato,35174
1998,9,Construcción,Guerrero,16743
1998,9,Construcción,Hidalgo,11804
1998,9,Construcción,Jalisco,59601
1998,9,Construcción,Mexico,47470
1998,9,Construcción,Michoacan,20693
1998,9,Construcción,Morelos,10765
1998,9,Construcción,Nayarit,7520
1998,9,Construcción,Nuevo Leon,70578
1998,9,Construcción,Oaxaca,13592
1998,9,Construcción,Puebla,21744
1998,9,Construcción,Queretaro,20995
1998,9,Construcción,Quintana Roo,30486
1998,9,Construcción,San Luis Potosi,13960
1998,9,Construcción,Sinaloa,25318
1998,9,Construcción,Sonora,29417
1998,9,Construcción,Tabasco,17969
1998,9,Construcción,Tamaulipas,38518
1998,9,Construcción,Tlaxcala,3539
1998,9,Construcción,Veracruz,45450
1998,9,Construcción,Yucatan,16614
1998,9,Construcción,Zacatecas,8547
1998,10,Construcción,Aguascalientes,12317
1998,10,Construcción,Baja California,31346
1998,10,Construcción,Baja California Sur,12679
1998,10,Construcción,Campeche,22471
1998,10,Construcción,Chiapas,13314
1998,10,Construcción,Chihuahua,29604
1998,10,Construcción,Ciudad de México,105706
1998,10,Construcción,Coahuila,36155
1998,10,Construcción,Colima,7048
1998,10,Construcción,Durango,9059
1998,10,Construcción,Guanajuato,35651
1998,10,Construcción,Guerrero,17357
1998,10,Construcción,Hidalgo,12055
1998,10,Construcción,Jalisco,60888
1998,10,Construcción,Mexico,47911
1998,10,Construcción,Michoacan,20355
1998,10,Construcción,Morelos,10726
1998,10,Construcción,Nayarit,8024
1998,10,Construcción,Nuevo Leon,72737
1998,10,Construcción,Oaxaca,13651
1998,10,Construcción,Puebla,22195
1998,10,Construcción,Queretaro,20855
1998,10,Construcción,Quintana Roo,32958
1998,10,Construcción,San Luis Potosi,14251
1998,10,Construcción,Sinaloa,25714
1998,10,Construcción,Sonora,30394
1998,10,Construcción,Tabasco,17988
1998,10,Construcción,Tamaulipas,40740
1998,10,Construcción,Tlaxcala,3752
1998,10,Construcción,Veracruz,45544
1998,10,Construcción,Yucatan,17431
1998,10,Construcción,Zacatecas,7626
1998,11,Construcción,Aguascalientes,12344
1998,11,Construcción,Baja California,31363
1998,11,Construcción,Baja California Sur,11837
1998,11,Construcción,Campeche,22490
1998,11,Construcción,Chiapas,14161
1998,11,Construcción,Chihuahua,30296
1998,11,Construcción,Ciudad de México,105550
1998,11,Construcción,Coahuila,37481
1998,11,Construcción,Colima,7402
1998,11,Construcción,Durango,9220
1998,11,Construcción,Guanajuato,36485
1998,11,Construcción,Guerrero,17140
1998,11,Construcción,Hidalgo,12060
1998,11,Construcción,Jalisco,61202
1998,11,Construcción,Mexico,48911
1998,11,Construcción,Michoacan,22069
1998,11,Construcción,Morelos,10579
1998,11,Construcción,Nayarit,8522
1998,11,Construcción,Nuevo Leon,74126
1998,11,Construcción,Oaxaca,13481
1998,11,Construcción,Puebla,21816
1998,11,Construcción,Queretaro,21018
1998,11,Construcción,Quintana Roo,35037
1998,11,Construcción,San Luis Potosi,14457
1998,11,Construcción,Sinaloa,26114
1998,11,Construcción,Sonora,30539
1998,11,Construcción,Tabasco,18188
1998,11,Construcción,Tamaulipas,40828
1998,11,Construcción,Tlaxcala,3689
1998,11,Construcción,Veracruz,45270
1998,11,Construcción,Yucatan,17662
1998,11,Construcción,Zacatecas,7663
1998,12,Construcción,Aguascalientes,11429
1998,12,Construcción,Baja California,28182
1998,12,Construcción,Baja California Sur,10525
1998,12,Construcción,Campeche,21404
1998,12,Construcción,Chiapas,13395
1998,12,Construcción,Chihuahua,29169
1998,12,Construcción,Ciudad de México,99922
1998,12,Construcción,Coahuila,35779
1998,12,Construcción,Colima,6868
1998,12,Construcción,Durango,8706
1998,12,Construcción,Guanajuato,33894
1998,12,Construcción,Guerrero,14471
1998,12,Construcción,Hidalgo,11495
1998,12,Construcción,Jalisco,58017
1998,12,Construcción,Mexico,45166
1998,12,Construcción,Michoacan,20862
1998,12,Construcción,Morelos,9968
1998,12,Construcción,Nayarit,8000
1998,12,Construcción,Nuevo Leon,71226
1998,12,Construcción,Oaxaca,11192
1998,12,Construcción,Puebla,20359
1998,12,Construcción,Queretaro,19694
1998,12,Construcción,Quintana Roo,24477
1998,12,Construcción,San Luis Potosi,13951
1998,12,Construcción,Sinaloa,24841
1998,12,Construcción,Sonora,26965
1998,12,Construcción,Tabasco,16868
1998,12,Construcción,Tamaulipas,37747
1998,12,Construcción,Tlaxcala,3404
1998,12,Construcción,Veracruz,39815
1998,12,Construcción,Yucatan,17865
1998,12,Construcción,Zacatecas,7075
1999,1,Construcción,Aguascalientes,11088
1999,1,Construcción,Baja California,27933
1999,1,Construcción,Baja California Sur,11398
1999,1,Construcción,Campeche,22130
1999,1,Construcción,Chiapas,14603
1999,1,Construcción,Chihuahua,29535
1999,1,Construcción,Ciudad de México,97860
1999,1,Construcción,Coahuila,36387
1999,1,Construcción,Colima,6783
1999,1,Construcción,Durango,8762
1999,1,Construcción,Guanajuato,33518
1999,1,Construcción,Guerrero,14288
1999,1,Construcción,Hidalgo,12066
1999,1,Construcción,Jalisco,58102
1999,1,Construcción,Mexico,45316
1999,1,Construcción,Michoacan,19618
1999,1,Construcción,Morelos,10096
1999,1,Construcción,Nayarit,8319
1999,1,Construcción,Nuevo Leon,74997
1999,1,Construcción,Oaxaca,10954
1999,1,Construcción,Puebla,20549
1999,1,Construcción,Queretaro,18727
1999,1,Construcción,Quintana Roo,23743
1999,1,Construcción,San Luis Potosi,13798
1999,1,Construcción,Sinaloa,24773
1999,1,Construcción,Sonora,27454
1999,1,Construcción,Tabasco,17605
1999,1,Construcción,Tamaulipas,37868
1999,1,Construcción,Tlaxcala,3263
1999,1,Construcción,Veracruz,39578
1999,1,Construcción,Yucatan,17297
1999,1,Construcción,Zacatecas,7319
1999,2,Construcción,Aguascalientes,11436
1999,2,Construcción,Baja California,27745
1999,2,Construcción,Baja California Sur,11229
1999,2,Construcción,Campeche,22651
1999,2,Construcción,Chiapas,14779
1999,2,Construcción,Chihuahua,29611
1999,2,Construcción,Ciudad de México,98461
1999,2,Construcción,Coahuila,37704
1999,2,Construcción,Colima,6782
1999,2,Construcción,Durango,9091
1999,2,Construcción,Guanajuato,33696
1999,2,Construcción,Guerrero,13446
1999,2,Construcción,Hidalgo,12903
1999,2,Construcción,Jalisco,58574
1999,2,Construcción,Mexico,46250
1999,2,Construcción,Michoacan,19230
1999,2,Construcción,Morelos,10436
1999,2,Construcción,Nayarit,8213
1999,2,Construcción,Nuevo Leon,77205
1999,2,Construcción,Oaxaca,11743
1999,2,Construcción,Puebla,20148
1999,2,Construcción,Queretaro,18674
1999,2,Construcción,Quintana Roo,26550
1999,2,Construcción,San Luis Potosi,14815
1999,2,Construcción,Sinaloa,25993
1999,2,Construcción,Sonora,28303
1999,2,Construcción,Tabasco,18839
1999,2,Construcción,Tamaulipas,37363
1999,2,Construcción,Tlaxcala,3089
1999,2,Construcción,Veracruz,39597
1999,2,Construcción,Yucatan,17614
1999,2,Construcción,Zacatecas,7147
1999,3,Construcción,Aguascalientes,11536
1999,3,Construcción,Baja California,27560
1999,3,Construcción,Baja California Sur,10778
1999,3,Construcción,Campeche,22521
1999,3,Construcción,Chiapas,14711
1999,3,Construcción,Chihuahua,30074
1999,3,Construcción,Ciudad de México,99371
1999,3,Construcción,Coahuila,38793
1999,3,Construcción,Colima,7098
1999,3,Construcción,Durango,9278
1999,3,Construcción,Guanajuato,34413
1999,3,Construcción,Guerrero,12364
1999,3,Construcción,Hidalgo,12727
1999,3,Construcción,Jalisco,59104
1999,3,Construcción,Mexico,47019
1999,3,Construcción,Michoacan,20927
1999,3,Construcción,Morelos,10614
1999,3,Construcción,Nayarit,7894
1999,3,Construcción,Nuevo Leon,80942
1999,3,Construcción,Oaxaca,11391
1999,3,Construcción,Puebla,19280
1999,3,Construcción,Queretaro,19252
1999,3,Construcción,Quintana Roo,22272
1999,3,Construcción,San Luis Potosi,15239
